PlotID,Field_D_mean,Field_D_std,Field_D_min,Field_D_max,Field_D_count,TLS_DBH_mean,TLS_DBH_std,TLS_DBH_min,TLS_DBH_max,TLS_DBH_count,PC_Tools_DBH_mean,PC_Tools_DBH_std,PC_Tools_DBH_min,PC_Tools_DBH_max,PC_Tools_DBH_count,3DFIN_DBH_mean,3DFIN_DBH_std,3DFIN_DBH_min,3DFIN_DBH_max,3DFIN_DBH_count,TLS_DBH_RMSE,TLS_DBH_Bias,PC_Tools_DBH_RMSE,PC_Tools_DBH_Bias,3DFIN_DBH_RMSE,3DFIN_DBH_Bias
547666,12.349152542372881,7.989764419326119,5.2,32.8,59,14.220338983050848,8.37086036984163,3.0,41.0,59,14.157536168341014,7.163083657949981,1.50768590631463,36.5989538148489,59,13.55726189649677,9.127072744205627,0.0,35.5543455366141,39,4.026816886485918,1.8711864406779661,3.915203199096349,1.8083836259681318,2.874337666217649,0.4059798452147197
547667,9.93125,6.060864160092074,5.1,27.4,80,11.3,6.396992964459298,3.0,28.999999999999996,80,12.772805693761681,6.5325639136626865,1.00420094995392,34.8798100130903,80,11.44004935739823,9.205243546911873,0.0,28.7544996708542,32,2.7562882650405056,1.3687500000000004,4.957974306156426,2.841555693761681,4.439906047894339,-1.1755756426017703
547671,14.040845070422534,7.787561959086215,5.2,35.7,142,15.32394366197183,8.22601762078788,3.0,41.0,142,15.93677127083406,7.743291638383804,4.8188563747657,39.556396655862,142,16.05802457292764,8.538280109904017,0.0,37.6149600097571,117,2.3300547052757077,1.2830985915492956,2.512399230722712,1.895926200411523,4.909039733207807,0.9776826925857577
549168,13.644999999999996,10.133556367162747,5.2,45.9,100,14.88,10.474866504296285,3.0,49.0,100,14.9449199751147,10.03825461282583,1.91019091149403,49.1112577533473,100,17.336404883760217,12.692293903945824,0.0,50.587545124689406,65,2.006514390678522,1.2350000000000005,2.8875731932117006,1.2999199751147017,2.8619111828792327,0.6840971914525255
549171,13.522340425531912,6.931464092347987,5.3,27.8,94,15.361702127659575,7.261403436478877,3.0,31.0,94,15.835850359139512,6.567652942410516,2.60234529178349,28.4556652009689,94,16.607314895495545,8.053923566985764,0.0,35.5065628632846,60,3.3673178922154117,1.8393617021276596,3.121763680454156,2.3135099336075946,5.228364598743344,1.3839815621622131
572638,11.708974358974361,3.6330083379686293,5.3,21.2,78,12.743589743589743,3.845847473645151,7.000000000000001,21.0,78,13.384111292692559,3.4175513085593856,7.66808868238046,22.8548614780469,78,13.47946121057443,6.603649171522144,0.0,23.6268177266838,34,2.067793323997645,1.0346153846153847,2.898094355863213,1.675136933718196,5.2803292920382505,-0.19995055413145202
573858,9.756565656565659,2.7127500022535913,5.1,20.1,99,10.97979797979798,3.422553641385207,5.0,21.0,99,11.819442069131082,2.8324201630681363,4.35108204070082,22.6891011411209,99,9.72166106384564,7.431387251270344,0.0,22.664595334186398,35,2.56835835631725,1.2232323232323237,2.6692254000011992,2.0628764125654238,6.071646568916465,-1.015481793297215
573860,10.06754385964912,2.8358481309747727,5.1,17.4,114,10.543859649122806,3.828492045565612,3.0,19.0,114,12.295655884860096,3.559074287578415,2.63899549864174,24.8423789557036,114,10.124415973806334,6.099568541649112,0.0,23.9872464914954,60,2.521956216490432,0.47631578947368447,4.212061232372085,2.2281120252109754,6.1114091749691655,-0.04725069286033345
573861,9.715238095238094,3.038021273801956,5.3,24.6,105,10.676190476190476,3.7223215411457478,7.000000000000001,25.0,105,11.57787143535183,3.3418051422691857,1.47510085711582,24.9558283428241,105,7.3834648294444465,6.110905928946393,0.0,25.409722141820602,66,2.43543288417754,0.9609523809523812,3.3590271207703486,1.8626333401137345,6.429165390890285,-2.599868503888887
573863,13.267499999999998,2.785485663173809,5.6,18.8,80,14.625,3.9885119841992784,7.000000000000001,27.0,80,13.227649443432862,2.504091022595543,7.89969383751338,21.2606098367679,80,9.782474030182495,7.417853291060827,0.0,22.9973061093893,56,2.7583509566405793,1.3575000000000002,2.7581887346716027,-0.03985055656713954,7.325932663651579,-3.5818116841032213
573870,8.502654867256636,2.0279502396416698,5.1,14.0,113,8.610619469026549,3.4626415090180376,1.0,19.0,113,10.430634096793094,4.135056292857096,1.3022459529967,20.1647109682216,113,7.862825312055674,5.023473650629898,0.0,14.959486797263,28,3.160262115263248,0.1079646017699119,4.258202711432078,1.9279792295364586,4.760297701523282,-0.544317545087184
573871,10.150537634408602,4.858511662780342,5.1,25.3,93,10.419354838709678,5.767831671255523,3.0,28.999999999999996,93,12.198996339525078,4.7210074077593775,2.19936445952853,27.8662880552585,93,14.219795961615697,8.652401176067876,0.0,30.588396707150302,30,2.32050235569708,0.26881720430107575,4.108814787662137,2.0484587051164773,4.412569034843955,0.796462628282364
598978,11.325925925925924,4.718067605426106,5.1,28.7,216,13.13888888888889,5.3386843311434795,3.0,31.0,216,13.07871719500822,4.455259247784299,1.76184371565595,27.8121051561143,216,12.166052527959163,7.440191659112837,0.0,31.256495078978503,139,2.87105607102386,1.812962962962963,2.8541363905335646,1.7527912690822942,4.752360979735889,-0.16704099722069304
599024,25.47936507936508,3.482868614220492,18.2,35.3,63,25.952380952380953,3.5895393334978385,19.0,35.0,63,26.69225469697827,3.880369468273093,19.9267775509852,41.6325559966353,63,26.027428978123886,4.6095333685334285,0.0,34.8569342998017,63,1.5438562314840274,0.47301587301587267,1.9945804313608384,1.2128896176131876,3.3020470258663988,0.5480638987588113
599026,20.576190476190476,7.890189410092582,5.2,30.8,84,20.69047619047619,8.068944169559884,3.0,35.0,84,22.192121392010865,7.398253002620451,1.70533816700677,32.4860252729672,84,24.019650087085047,7.275037116205595,0.0,33.3833509509653,65,2.516280323546378,0.114285714285714,3.053469555107622,1.6159309158203912,6.284191501157054,-0.18342683599187704
599030,11.536434108527132,5.5752373545955445,5.1,24.7,129,12.457364341085272,5.80814050484585,3.0,28.999999999999996,129,13.034029387196767,5.213205422249988,0.126933831497747,27.0907464229448,129,12.73062701010159,6.403234580342437,0.0,27.770052434667196,112,1.9156232414284329,0.9209302325581398,2.7821917081123826,1.497595278669636,2.2331115870229814,0.5868770101015912
599034,27.181914893617027,6.419978272933413,11.9,46.6,94,27.617021276595743,6.564987585635058,13.0,47.0,94,27.821994077194592,6.33450004450263,11.6224017480888,45.4068268909239,94,28.601401538070082,7.1370226136789485,0.0,46.508980519480296,94,2.433389195900114,0.43510638297872284,1.3658340175904746,0.6400791835775701,4.2678655009294175,1.4194866444530592
599038,11.330222222222224,3.68831073950001,5.5,23.1,225,12.715555555555556,4.143516641541356,7.000000000000001,23.0,225,12.628948862329189,3.4003830675551434,5.51686514984997,23.70148101686,225,12.362876788125655,5.060020949325685,0.0,22.892202895178702,199,2.4343376922686795,1.3853333333333335,1.7795546894896224,1.298726640106965,2.8082902245189296,0.7498114614924913
599042,16.974736842105266,4.563172851488796,6.2,28.0,95,17.905263157894737,4.674679837052732,7.000000000000001,28.999999999999996,95,16.945077896007906,4.486991568522929,7.15001855728248,29.9937154616158,95,18.103721842621948,4.565698354368304,6.752064888931331,32.301100520515604,89,2.043165758275494,0.9305263157894734,1.399225687212002,-0.02965894609735876,1.455603807984067,0.939676898801724
599052,19.967592592592595,7.943901778007846,5.1,31.8,108,20.055555555555557,8.200562248029131,3.0,31.0,108,20.65376109265671,7.0536733820474335,1.51031143684826,31.8986662071804,108,21.20747857078784,8.410069254655138,0.0,32.5125222782365,85,1.8782625935609665,0.08796296296296265,2.575450987991009,0.6861685000641154,4.707466916425116,-1.0501684880356894
599057,28.23098591549296,4.417290428347476,19.6,38.2,71,28.661971830985916,4.420548324010207,19.0,39.0,71,29.249184526259324,4.275448642686856,21.0476461879216,38.8889878749664,71,29.943509193493483,5.798228530182623,0.0,39.7691436156016,71,1.6710458899136138,0.4309859154929569,1.435917632789972,1.018198610766369,5.248948634098924,1.7125232780005255
599059,20.294186046511626,7.938089185561008,5.1,30.9,86,21.348837209302324,8.024620118346764,5.0,37.0,86,20.7472613242889,6.98224186484318,1.98272114218929,31.2318192463993,86,22.799226292369635,6.537231113956724,0.0,32.2741837977486,71,2.6000223612634117,1.0546511627906974,2.4128186606547355,0.4530752777772677,2.3160655012066655,0.41331079941189014
599070,13.863350785340314,5.107941935692621,5.3,28.8,191,14.24607329842932,5.58354469329005,3.0,28.999999999999996,191,14.606424155558399,5.06743539578089,2.95774763766968,30.4806901430454,191,13.964045472826426,5.992648297673478,0.0,30.3309074834302,184,2.0680440717553656,0.38272251308900535,1.676997276670193,0.7430733702180871,3.193132602295211,-0.10660670108661927
599074,17.88153846153846,13.454540268851769,5.1,52.1,65,19.615384615384617,12.791222952297588,3.0,45.0,65,18.088721907284864,12.0138753004227,3.46453879742408,47.422988242815,65,20.22361623514339,15.293841263179106,0.0,55.2066976746392,45,2.8416950521177973,1.7338461538461543,2.989965665071856,0.20718344574640107,7.739464102926161,-0.9030504315232791
599079,24.769230769230774,9.856217072742208,5.9,45.3,78,25.53846153846154,9.412194780677384,7.000000000000001,43.0,78,24.887652052298616,9.349814421612203,1.46465132946541,38.7328577566292,78,25.911114620347476,9.637832368029464,0.0,46.7906796990539,72,2.7285762230746284,0.7692307692307688,2.2600924638933817,0.11842128306784758,1.738093245093651,0.3236146203474723
599081,17.139603960396045,3.975376188687576,7.0,25.6,101,17.574257425742573,4.667647233143192,3.0,27.0,101,17.731521973695212,4.343162722452521,2.52345663940599,26.7014460420172,101,18.08759239311925,4.452395948680169,0.0,26.582027290646298,95,2.473483133534811,0.43465346534653493,2.1380291406438223,0.5919180132991738,2.904959175145402,0.5275923931192523
599082,18.242391304347823,4.516495619433624,5.2,28.7,92,18.608695652173914,5.4206696835762305,1.0,28.999999999999996,92,18.858941916917313,4.119704162231895,5.5607727613102,28.2287877600704,92,18.346273827606645,5.289577163545818,0.0,27.373329645442503,86,2.617437346121119,0.3663043478260871,1.5292984998842711,0.6165506125694911,4.312742845882793,-0.40256338169567807
599084,17.905825242718446,5.300033763168789,5.2,34.9,103,18.611650485436893,5.4164473736160055,7.000000000000001,35.0,103,18.535143824635355,5.6861132818766125,2.08046090858799,35.6446719384619,103,18.951687823349157,6.091979217836116,0.0,35.8307130363655,99,1.5904142465811086,0.7058252427184466,1.8432423073863728,0.6293185819169047,3.4209997844465083,0.7042130758744121
599086,23.4126582278481,8.788036259868935,6.2,37.3,79,24.139240506329113,9.185738915066882,3.0,37.0,79,24.802270857546787,8.835358032154128,4.97174445247157,39.3811127729745,79,25.769978795934843,9.61831891580506,0.0,39.4562457272835,73,2.7882211560760157,0.7265822784810122,1.8127773931998747,1.3896126296986875,4.778858872638483,1.4946363301814194
599088,19.2621359223301,6.277084319170123,5.3,29.9,103,20.66990291262136,6.710232674021165,7.000000000000001,35.0,103,20.163186731165098,6.627774463989375,0.606128693745618,30.9631950815844,103,21.714504001811317,6.857853092774291,0.0,33.6273591967286,88,2.3326721208307375,1.407766990291262,2.0122505830171518,0.901050808835003,3.4863329287027645,1.1485949109022293
599090,18.989795918367346,5.129628707769285,5.1,30.5,98,19.877551020408163,5.5171061182517125,7.000000000000001,31.0,98,19.64138494975692,5.292703248086351,6.58485499196395,33.0245858945606,98,20.847049327126552,5.327325306053114,6.23017759393187,34.1532002864709,94,1.811471383000176,0.8877551020408163,1.2798784038958217,0.6515890313895745,2.015554180545435,1.5661982632967657
599093,29.993055555555557,7.242369979947695,5.2,53.0,72,31.0,7.23839527776586,9.0,51.0,72,31.07436418413061,6.746702245406525,10.3913055565635,52.5431123626842,72,32.194407391647495,7.0468258544776345,0.0,53.784218234415306,70,1.9645822287024108,1.0069444444444438,1.7982750390070439,1.0813086285750497,3.533095013812254,1.505835963076064
