Method,N,Correlation_r,R_squared,RMSE_cm,Bias_cm,MAE_cm,Mean_cm,Std_cm
TLS_DBH,4322,0.9648274217462645,0.930891953753544,2.5234765358393916,0.9336649699213327,1.8363026376677465,17.542804257288292,8.878028458554333
PC_Tools_DBH,4322,0.9611505468845206,0.9238103737764131,2.6942335968098035,1.1714053529404944,1.8242931003147287,17.780544640307454,8.418403307885598
3DFIN_DBH,3565,0.8416634408433605,0.708397347652285,5.533837931281227,0.16217454926546016,2.765103577564493,18.410729948984955,10.243699525786253
