TLS_tree_id,TLS_x,TLS_y,TLS_z,field_X_local,field_X_utm,field_X_utm_korj,field_KoealaId,field_KoealaNro,TLS_dbh,TLS_tree_ht,field_D,field_DEst,field_H,field_HEst,field_H_Laser,field_H_Laser_korj,field_match,distance,cost,field_PuuLk,field_TEst,field_VEst,dbh,h,hmax,d05,d6,hstemmax_rawtapercurve,hstemmax_stempc,hstemmax_tapercurve,pointcount,stempointcount,stempointcount_clean,crownpointcount,ba,vlog,vol,vpulp,tree_specie,treesp,Ulkona,distance_to_threedfin_cm,threedfin_match,threedfin_dbh,threedfin_hmax,threedfin_x,threedfin_y
208,606091.58,6919463.86,101.36,NA,NA,606091.794,549171,0,0.03,6.37,5.5,5.5,NaN,4.96,NaN,NaN,6519987,0.442227317220771,0.833227317220771,1,20,7.2,9.51128924610564,6.4,6.49989000000001,7.54111118692932,1.3882932247161,5.96,6.24988000000001,2.33,30142,11128,2142,19014,0.00710507488533131,0,0.0268510540294178,0.0242522596284647,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
226,606073.75,6919472.39,101.93,NA,NA,606073.833,549171,0,0.07,5.27,5.5,5.5,NaN,4.41,3.79,4.41,6520040,0.16189502728187,0.39789502728187,1,20,6.64,10.1909684915894,5.3,5.39984,10.1909684915894,0,5.16,5.14934,5.16,12337,4812,4812,7525,0.0081568185048926,0,0.0409906834295008,0.0407111465173162,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
227,606075.76,6919479.69,102.68,NA,NA,606076.109,549171,0,0.21,17.39,17.2,17.2,NaN,18.22,17.62,18.22,6520013,0.499964998812105,0.962964998812105,1,50,206.11,23.193801335817,17.5,17.5165,19.3188077670615,20.1592344206158,13.82,14.49396,10.7,97906,14285,13081,83621,0.0422506842981571,0.367233623888319,0.41487067518752,0.0455621180483149,1,1,NaN,7.65410417409093,90,0,17.8164781586651,606075.827063713,6919479.65310841
229,606069.84,6919473.29,102.59,NA,NA,606069.942,549171,0,0.07,7.32,8.1,8.1,NaN,7.5,NaN,NaN,6520030,0.150748134732902,0.278748134732902,1,23,21.18,2.60234529178349,7.4,7.49557,1.94827487184568,0.846676491060533,2.553,2.54930999999999,2.553,53712,900,900,52812,0.000531887424143453,0,0.0021744025949723,0,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
233,606096.71,6919465.64,102.34,NA,NA,606096.766,549171,0,0.07,6.98,6.3,6.3,NaN,5.74,NaN,NaN,6519984,0.207692079049719,0.40169207904972,1,21,10.41,11.0845425705043,7.5,7.59819,10.0459430271441,5.02636915599354,6.11,7.04943999999999,4.34,261090,12103,7002,248987,0.00964995821134964,0,0.0473091944013892,0.0454938336112966,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
234,606073.36,6919450.32,101.61,NA,NA,606073.391,549171,0,0.09,12.5,9.3,9.3,NaN,8.67,NaN,NaN,6519928,0.117175082564023,0.530175082564024,1,26,31.53,13.6455531674773,12.5,12.5993,13.7451056694552,14.1156369426715,4.1,4.19954,4.01,514555,4661,4515,509894,0.0146242018649508,0,0.139325746419099,0.137163996403031,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
235,606068.55,6919470.89,102.54,NA,NA,606068.413,549171,0,0.13,8.2,9.1,9.1,NaN,7.82,7.2,7.82,6520034,0.197314469886181,0.625314469886181,1,25,27.32,11.7573429780311,8.3,8.33758,11.7573429780311,11.7573429780311,7.998,7.99307999999999,7.998,300495,5832,5832,294663,0.0108569604576498,0,0.0800885255360805,0.0798307110908521,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
242,606079.39,6919471.48,101.84,NA,NA,606079.406,549171,0,0.25,22.43,24.3,24.3,NaN,22.57,21.98,22.57,6520004,0.190672494487167,0.274672494487167,1,50,492.39,26.2923570712841,22.5,22.54771,23.0004824031774,23.0004824031774,19.73,20.29983,13.49,562074,101229,98962,460845,0.0542936357280429,0.66992401191073,0.714954569177435,0.0428463386451931,1,1,NaN,8.54861928598457,82,0,22.3966988693436,606079.457110736,6919471.42704683
247,606072.2,6919453.48,101.18,NA,NA,606072.251,549171,0,0.13,9.44,9.6,9.6,NaN,8.96,NaN,NaN,6519931,0.0602079727914832,0.448207972791483,1,26,34.56,13.0300121032818,9.5,9.58776,12.4472255918784,10.1955301794106,9.56,9.54975999999999,7.73,129955,26938,25133,103017,0.0133345854763713,0,0.087923609913404,0.0859071918426157,2,2,NaN,7.55580485873738,45,0,22.3129946962509,606072.177791388,6919453.55222047
5,615471.88,6927665.41,103.3,NA,NA,615471.883,572638,0,0.13,9.41,8.7,8.7,9.3,9.3,8.5,9.11,7459433,0.0770584199119495,0.518058419911949,1,23,29.98,7.66808868238046,9.4,9.47878,7.58423544111077,7.58423544111077,4.211,4.19928,4.206,382857,86569,86569,296288,0.00461810853142185,0,0.0394933368523481,0.0379602584964831,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,615470.6,6927664.44,103.25,NA,NA,615470.538,572638,0,0.13,10.99,10.7,10.7,NaN,11.02,10.41,11.02,7459432,0.133296662272816,0.366296662272816,1,23,52.47,10.2500055656005,11.1,11.1448,9.24761983858947,8.8500278655436,5.57,5.94931,5.57,517029,63640,63087,453389,0.00825159841518234,0,0.0600120744188241,0.0568124349133451,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,615469.22,6927662.61,103.08,NA,NA,615469.217,572638,0,0.13,10.69,11.4,11.4,NaN,10.97,10.36,10.97,7459424,0.102044108066252,0.290044108066252,1,23,58.59,12.9963831639247,10.8,10.84895,9.77204241912955,8.90524836535447,7.04,7.14946999999999,3.02,359087,68285,52860,290802,0.0132658442821675,0,0.0779800639181769,0.0748246057885101,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,615467.05,6927665.97,103.33,NA,NA,615467.15,572638,0,0.07,6.65,6.1,6.1,6.6,6.6,5.75,6.37,7459426,0.124402572315252,0.219402572315252,1,21,11.09,8.47425961696904,6.49989000000001,6.49989000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,615470.21,6927672.68,103.74,NA,NA,615470.097,572638,0,0.09,10.14,10.6,10.6,NaN,10,NaN,NaN,7459437,0.154935470228146,0.328935470228146,1,23,46.48,11.2466827819776,10.2,10.27632,10.2412608739293,10.2412608739293,7.403,7.39590999999999,7.403,117676,49485,49485,68191,0.00993433436162574,0,0.073347563297892,0.0715773342687949,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,615468.22,6927664.05,103.25,NA,NA,615468.2,572638,0,0.13,12.59,13.3,13.3,NaN,12.39,11.78,12.39,7459425,0.264756491397611,0.314756491397611,1,23,88.51,14.1670632487799,12.6,12.69878,13.198512978549,13.198512978549,7.22,7.5985,6.05,476733,118135,117261,358598,0.0157633873315391,0,0.134199131003236,0.132052851816343,2,2,NaN,4.44954727325839,28,0,12.7192611440509,615468.188717944,6927664.08164301
22,615467.81,6927667.32,103.43,NA,NA,615467.833,572638,0,0.07,9.74,5.7,5.7,NaN,5.21,NaN,NaN,7459427,0.188409129200391,0.771409129200391,1,21,7.99,9.26927059370166,7.09885999999999,7.09885999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,615469.63,6927677.17,103.87,NA,NA,615469.664,572638,0,0.13,12.47,13.4,13.4,NaN,12.03,11.42,12.03,7459461,0.0466904698739712,0.130690469873971,1,23,86.83,13.1512990062903,12.5,12.59816,11.6955007047097,11.963508645261,5.54,5.64988,5.48,442632,52244,51779,390388,0.0135839847472557,0,0.108085800063003,0.105432829452771,2,2,NaN,8.22607401354344,67,0.233789391402924,12.6463491127866,615469.691709887,6927677.22439411
